Feature,Importance
alcohol,0.2545847948261341
volatile acidity,0.12750730518704903
free sulfur dioxide,0.08971658509069559
sulphates,0.07834370115954738
total sulfur dioxide,0.07193886577452345
residual sugar,0.07093449901279156
pH,0.06878828586233533
chlorides,0.0644462888684923
density,0.05868431213571844
citric acid,0.05830101123387733
fixed acidity,0.05586610962930619
wine_type,0.0008882412195294289
